Orth,Phon
a,a
e,ɛ
i,ɪ
o,ɔ
u,ɨ
y,ɨ
w,ʊ
aa,aː
ee,ɛː
ii,iː
oo,ɔː
uu,ɨː
yy,ɨː
ww,uː
aw,aʊ
ay,ai
ew,ɛʊ
ey,ei
iw,ɪʊ
ow,ɔʊ
uw,ɨʊ
wy,ʊɨ
yw,ɨʊ
b,b
c,k
ch,χ
d,d
dd,ð
f,v
ff,f
g,ɡ
h,h
j,dʒ
l,l
ll,ɬ
m,m
n,n
ng,ŋ
p,p
ph,f
r,r
rh,r̥
s,s
si,ʃ
t,t
th,θ
ti,ʃ
ts,ts
dz,dz
chd,χd
cht,χt
nh,n̥
mh,m̥
lh,l̥
hr,r̥
hw,ʍ
